Work,Theme,Type
Misalliance,husband and wife,minor
Mrs. Warren's Profession,mother and daughter,major
Mrs. Warren's Profession,female independence,major
Mrs. Warren's Profession,prostitution vs. poverty,major
Mrs. Warren's Profession,sex trade in society,major
Mrs. Warren's Profession,female empowerment,major
Mrs. Warren's Profession,boyfriend and girlfriend,major
Mrs. Warren's Profession,prostitution,minor
Mrs. Warren's Profession,young and old romance,minor
Mrs. Warren's Profession,unrequited love,minor
Mrs. Warren's Profession,sacrifice for a loved one,minor
Pygmalion,sociolinguistics,major
Pygmalion,rise to prominence from humble beginnings,major
Pygmalion,manners,major
Pygmalion,social inequality,major
Pygmalion,character metamorphosis,major
Pygmalion,man vs. woman,major
Pygmalion,what it is like to be different,minor
Pygmalion,table manners,minor
Pygmalion,romantic relationship,minor
Pygmalion,husband and wife,minor
Pygmalion,learning languages,minor
The Devil's Disciple,the human capacity for good and evil,major
The Devil's Disciple,human self-sacrifice for another,major
The Devil's Disciple,cowardice,major
The Devil's Disciple,courage,major
The Devil's Disciple,black sheep,minor
